"refext","route","pr","abs","dep","siredo","libelle","source","reg","nomreg","metropole","longitude","latitude","tipi","focus"
NULL,"RN87",9,200,"38","MYi38.C1","Meylan sens1","grenoble","84","Auvergne-Rhône-Alpes","Grenoble-Alpes-Métropole","5.78196564655082","45.1920413569593","TraficGentiane",1
NULL,"RN87",1,300,"38","MYi38.B2","etats généraux sens2","grenoble","84","Auvergne-Rhône-Alpes","Grenoble-Alpes-Métropole","5.71658171325939","45.1531384887612","TraficGentiane",1
NULL,"RN87",1,300,"38","MYi38.B1","etats généraux sens1","grenoble","84","Auvergne-Rhône-Alpes","Grenoble-Alpes-Métropole","5.71658171325939","45.1531384887612","TraficGentiane",1
NULL,"N249",1,500,"44","MWL44.Q2","N249","nantes","52","Pays de la Loire","Nantes Métropole","-1.46182753477913","47.2254146463033","TraficBreizhNantes",1
NULL,"N249",1,500,"44","MWL44.Q1","N249","nantes","52","Pays de la Loire","Nantes Métropole","-1.46182753477913","47.2254146463033","TraficBreizhNantes",1
NULL,"N165",8,560,"44","MWL44.B2","N165","nantes","52","Pays de la Loire","Nantes Métropole","-1.65557951554069","47.253735474183","TraficBreizhNantes",1
NULL,"N165",8,560,"44","MWL44.B1","N165","nantes","52","Pays de la Loire","Nantes Métropole","-1.65557951554069","47.253735474183","TraficBreizhNantes",1
NULL,"A83",4,0,"44","MWL44.12","A83","nantes","52","Pays de la Loire","Nantes Métropole","-1.47999779961883","47.1043102769862","TraficBreizhNantes",1
NULL,"A83",4,0,"44","MWL44.11","A83","nantes","52","Pays de la Loire","Nantes Métropole","-1.47999779961883","47.1043102769862","TraficBreizhNantes",1
NULL,"A811",5,0,"44","MWL44.22","A811","nantes","52","Pays de la Loire","Nantes Métropole","-1.47727324041367","47.2521744888472","TraficBreizhNantes",1
NULL,"A811",5,0,"44","MWL44.21","A811","nantes","52","Pays de la Loire","Nantes Métropole","-1.47727324041367","47.2521744888472","TraficBreizhNantes",1
NULL,"A7",264,687,"13","MM713.i2","A7 (Pennes Mirabeau) --> Marseille","marseille","93","Provence-Alpes-Côte d'Azur","Métropole d'Aix-Marseille-Provence","5.28167932182286","43.4124348710693","TraficMarius",1
NULL,"A7",264,687,"13","MM713.I1","Marseille --> A7 (Pennes Mirabeau)","marseille","93","Provence-Alpes-Côte d'Azur","Métropole d'Aix-Marseille-Provence","5.28167932182286","43.4124348710693","TraficMarius",1
NULL,"A51",12,886,"13","MM113.y2","A51","marseille","93","Provence-Alpes-Côte d'Azur","Métropole d'Aix-Marseille-Provence","5.40676817657802","43.4936725019546","TraficMarius",1
NULL,"A51",12,886,"13","MM113.Y1","A51","marseille","93","Provence-Alpes-Côte d'Azur","Métropole d'Aix-Marseille-Provence","5.40676817657802","43.4936725019546","TraficMarius",1
NULL,"A51",5,275,"13","MM113.j2","A51 (Bouc Bel Air) --> Marseille","marseille","93","Provence-Alpes-Côte d'Azur","Métropole d'Aix-Marseille-Provence","5.38904374449673","43.4289810112677","TraficMarius",1
NULL,"A51",0,430,"13","MM113.a2","Marseille --> A51 (Septemes les Vallons)","marseille","93","Provence-Alpes-Côte d'Azur","Métropole d'Aix-Marseille-Provence","5.35308935208059","43.3984908454972","TraficMarius",1
NULL,"A51",0,430,"13","MM113.A1","A51 (Septemes les Vallons) --> Marseille","marseille","93","Provence-Alpes-Côte d'Azur","Métropole d'Aix-Marseille-Provence","5.35308935208059","43.3984908454972","TraficMarius",1
NULL,"A502",1,494,"13","MM413.j2","Aubagne --> A502","marseille","93","Provence-Alpes-Côte d'Azur","Métropole d'Aix-Marseille-Provence","5.59251299052486","43.2839520498522","TraficMarius",1
NULL,"A502",1,494,"13","MM413.J1","A502 --> Aubagne","marseille","93","Provence-Alpes-Côte d'Azur","Métropole d'Aix-Marseille-Provence","5.59251299052486","43.2839520498522","TraficMarius",1
NULL,"A501",2,482,"13","MM413.o2","Marseille --> A501 (Aubagne)","marseille","93","Provence-Alpes-Côte d'Azur","Métropole d'Aix-Marseille-Provence","5.57093966578665","43.303855831478","TraficMarius",1
NULL,"A501",2,482,"13","MM413.O1","A501 (Aubagne) --> Marseille","marseille","93","Provence-Alpes-Côte d'Azur","Métropole d'Aix-Marseille-Provence","5.57093966578665","43.303855831478","TraficMarius",1
NULL,"A50",15,373,"13","MM413.g2","A50 (Aubagne) --> Marseille","marseille","93","Provence-Alpes-Côte d'Azur","Métropole d'Aix-Marseille-Provence","5.57206330213137","43.2844013149457","TraficMarius",1
NULL,"A50",15,373,"13","MM413.G1","Marseille --> A50 (Aubagne)","marseille","93","Provence-Alpes-Côte d'Azur","Métropole d'Aix-Marseille-Provence","5.57206330213137","43.2844013149457","TraficMarius",1
NULL,"A50",13,380,"13","MM413.c2","Marseille --> A50 (Aubagne)","marseille","93","Provence-Alpes-Côte d'Azur","Métropole d'Aix-Marseille-Provence","5.54970826934112","43.2889094137875","TraficMarius",1
NULL,"A50",13,380,"13","MM413.C1","A50 (Aubagne) --> Marseille","marseille","93","Provence-Alpes-Côte d'Azur","Métropole d'Aix-Marseille-Provence","5.54970826934112","43.2889094137875","TraficMarius",1
NULL,"A42",6,200,"1","MQA01.C2","A42 (2)","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.94441064601764","45.812599939593","TraficLyon",1
NULL,"A42",6,200,"1","MQA01.C1","A42 (1)","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.94441064601764","45.812599939593","TraficLyon",1
NULL,"A43",10,500,"69","MGR69.E2","A43 (2)","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.99082297680594","45.6899151078286","TraficLyon",1
NULL,"A43",10,500,"69","MGR69.E1","A43 (1)","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.99082297680594","45.6899151078286","TraficLyon",1
